,id,name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,season,5Yrs
0,1628378,Donovan Mitchell,79,33.4,20.5,7.5,17.2,2.4,7.0,3.0,3.8,0.7,3.1,3.7,1.5,0.3,2.7,2017,1
1,1628398,Kyle Kuzma,77,31.2,16.1,6.1,13.5,2.1,5.6,1.9,2.7,1.1,5.1,1.8,0.6,0.4,1.8,2017,1
2,1627732,Ben Simmons,81,33.7,15.8,6.7,12.3,0.0,0.1,2.4,4.2,1.8,6.3,8.2,1.7,0.9,3.4,2017,1
3,1628374,Lauri Markkanen,68,29.7,15.2,5.5,12.7,2.1,5.9,2.1,2.4,1.2,6.3,1.2,0.6,0.6,1.2,2017,1
4,1628372,Dennis Smith Jr.,69,29.7,15.2,5.9,14.8,1.5,4.9,1.9,2.8,0.7,3.0,5.2,1.0,0.3,2.8,2017,1
5,1628369,Jayson Tatum,80,30.5,13.9,5.0,10.4,1.3,3.0,2.7,3.2,0.6,4.4,1.6,1.0,0.7,1.4,2017,1
6,1628367,Josh Jackson,77,25.4,13.1,5.1,12.1,0.7,2.8,2.3,3.6,1.2,3.3,1.5,1.0,0.5,1.9,2017,0
7,203992,Bogdan Bogdanovic,78,27.9,11.8,4.4,9.9,1.7,4.2,1.3,1.5,0.4,2.5,3.3,0.9,0.2,1.6,2017,1
8,1628368,De'Aaron Fox,73,27.8,11.6,4.5,10.9,0.6,2.1,1.9,2.7,0.5,2.3,4.4,1.0,0.3,2.4,2017,1
9,1628415,Dillon Brooks,82,28.7,11.0,4.1,9.4,1.1,3.2,1.5,2.0,0.6,2.5,1.6,0.9,0.2,1.5,2017,1
10,1628381,John Collins,74,24.1,10.5,4.2,7.4,0.2,0.6,1.8,2.5,2.4,4.9,1.3,0.6,1.1,1.4,2017,1
11,1628366,Lonzo Ball,52,34.2,10.2,3.9,10.8,1.7,5.7,0.6,1.4,1.3,5.6,7.2,1.7,0.8,2.6,2017,0
12,1627820,Tyrone Wallace,30,28.4,9.7,3.7,8.2,0.3,1.3,2.0,2.6,0.7,2.8,2.4,0.9,0.4,1.5,2017,0
13,1628462,Milos Teodosic,45,25.2,9.5,3.4,8.0,2.0,5.2,0.9,1.0,0.4,2.4,4.6,0.5,0.1,2.2,2017,0
14,1628386,Jarrett Allen,72,20.0,8.2,3.3,5.5,0.1,0.2,1.6,2.0,2.0,3.4,0.7,0.4,1.2,1.1,2017,1
15,1628412,Frank Mason III,52,18.9,7.9,2.8,7.3,0.6,1.7,1.8,2.2,0.6,1.9,2.8,0.7,0.2,1.3,2017,0
16,1628404,Josh Hart,63,23.2,7.9,2.8,6.0,1.2,3.1,1.0,1.5,0.7,3.5,1.3,0.7,0.3,0.7,2017,1
17,1628379,Luke Kennard,73,20.0,7.6,2.8,6.4,1.1,2.7,0.9,1.0,0.3,2.1,1.7,0.6,0.2,0.9,2017,1
18,1628416,Tyler Dorsey,56,17.4,7.2,2.6,6.8,1.3,3.6,0.8,1.1,0.3,2.0,1.4,0.3,0.1,0.7,2017,1
19,1628389,Bam Adebayo,69,19.8,6.9,2.5,4.9,0.0,0.1,1.9,2.6,1.7,3.8,1.5,0.5,0.6,1.0,2017,1
20,1628370,Malik Monk,63,13.6,6.7,2.4,6.7,1.3,3.9,0.5,0.6,0.1,0.9,1.4,0.3,0.1,0.8,2017,1
21,1628382,Justin Jackson,68,22.1,6.7,2.7,6.2,0.8,2.7,0.4,0.5,0.4,2.4,1.1,0.4,0.2,0.6,2017,1
22,1628424,Kobi Simmons,32,20.1,6.1,2.5,5.9,0.3,1.2,0.8,0.8,0.4,1.1,2.1,0.6,0.2,1.4,2017,1
23,1628373,Frank Ntilikina,78,21.9,5.9,2.3,6.4,0.6,2.0,0.6,0.9,0.5,1.8,3.2,0.8,0.2,1.7,2017,1
24,1628384,O.G. Anunoby,74,20.0,5.9,2.2,4.7,1.0,2.7,0.5,0.8,0.6,1.9,0.7,0.7,0.2,0.6,2017,1
25,1628397,Ivan Rabb,36,14.3,5.6,2.4,4.2,0.0,0.0,0.8,1.0,1.5,2.9,0.9,0.3,0.4,1.0,2017,0
26,203710,C.J. Williams,38,18.6,5.5,2.3,5.2,0.6,2.1,0.3,0.4,0.3,1.2,1.1,0.8,0.3,0.5,2017,0
27,1628371,Jonathan Isaac,27,19.8,5.4,2.0,5.4,0.6,1.7,0.7,0.9,0.6,3.1,0.7,1.2,1.1,1.0,2017,1
28,1628467,Maxi Kleber,72,16.8,5.4,2.1,4.3,0.6,1.8,0.6,0.8,1.0,2.3,0.7,0.4,0.7,0.4,2017,1
29,1628464,Daniel Theis,63,14.9,5.3,2.0,3.7,0.3,0.9,1.0,1.3,1.4,2.9,0.9,0.5,0.8,0.9,2017,1
30,1626220,Royce O'Neale,69,16.7,5.0,1.7,4.1,0.6,1.7,0.9,1.1,0.4,3.1,1.4,0.5,0.2,0.8,2017,1
31,1628393,Jawun Evans,48,16.2,4.8,1.9,5.3,0.3,1.1,0.8,1.0,0.2,1.6,2.1,0.8,0.1,0.9,2017,0
32,1628463,Tyler Cavanaugh,39,13.3,4.7,1.7,3.9,0.8,2.3,0.4,0.5,1.2,2.1,0.7,0.2,0.1,0.3,2017,0
33,1628395,Jordan Bell,57,14.2,4.6,2.0,3.2,0.0,0.1,0.5,0.8,1.1,2.6,1.8,0.6,1.0,0.9,2017,0
34,1628380,Zach Collins,66,15.8,4.4,1.7,4.4,0.5,1.7,0.4,0.6,0.7,2.7,0.8,0.3,0.5,0.9,2017,1
35,203920,Khem Birch,42,13.8,4.2,1.6,3.0,0.0,0.0,1.0,1.5,1.7,2.6,0.8,0.4,0.5,0.5,2017,1
36,1628470,Torrey Craig,39,16.1,4.2,1.6,3.5,0.4,1.5,0.6,0.9,1.0,2.2,0.6,0.3,0.4,0.5,2017,1
37,1628422,Damyean Dotson,44,10.8,4.1,1.6,3.7,0.5,1.5,0.4,0.5,0.2,1.7,0.7,0.3,0.0,0.4,2017,0
38,1628425,Sterling Brown,54,14.4,4.0,1.5,3.8,0.6,1.7,0.4,0.4,0.5,2.1,0.5,0.6,0.2,0.5,2017,1
39,1626224,Cedi Osman,61,11.0,3.9,1.5,3.0,0.5,1.4,0.4,0.8,0.3,1.7,0.7,0.4,0.0,0.5,2017,1
40,1628414,Sindarius Thornwell,73,15.8,3.9,1.4,3.2,0.3,0.8,0.8,1.2,0.5,1.5,0.9,0.7,0.3,0.7,2017,0
41,1627790,Ante Zizic,32,6.7,3.7,1.5,2.1,0.0,0.0,0.7,0.9,0.8,1.1,0.2,0.1,0.4,0.3,2017,0
42,1628411,Wes Iwundu,62,16.5,3.7,1.5,3.5,0.1,0.7,0.5,0.8,0.6,1.6,0.9,0.5,0.2,0.5,2017,0
43,1627936,Alex Caruso,37,15.2,3.6,1.4,3.1,0.4,1.2,0.6,0.8,0.4,1.4,2.0,0.6,0.3,1.1,2017,1
44,1628407,Dwayne Bacon,53,13.5,3.3,1.4,3.6,0.2,0.8,0.4,0.5,0.1,2.3,0.7,0.3,0.0,0.4,2017,0
45,1627858,Kyle Collinsworth,32,15.0,3.2,1.2,3.1,0.1,0.5,0.7,1.3,1.0,2.3,1.8,0.5,0.3,0.8,2017,0
46,1628390,Terrance Ferguson,61,12.5,3.1,1.1,2.8,0.7,2.0,0.1,0.2,0.3,0.5,0.3,0.4,0.2,0.2,2017,0
47,1627846,Abdel Nader,48,10.9,3.0,1.0,3.1,0.5,1.4,0.5,0.8,0.3,1.2,0.5,0.3,0.2,0.7,2017,0
48,1628388,T.J. Leaf,53,8.7,2.9,1.2,2.6,0.3,0.8,0.2,0.3,0.5,1.0,0.2,0.1,0.1,0.2,2017,0
49,1628400,Semi Ojeleye,73,15.8,2.7,0.9,2.6,0.5,1.7,0.3,0.6,0.5,1.7,0.3,0.3,0.1,0.3,2017,0
50,1627824,Guerschon Yabusele,33,7.1,2.4,0.8,1.8,0.4,1.1,0.5,0.7,0.5,1.1,0.5,0.1,0.2,0.4,2017,0
51,203464,Brandon Paul,64,9.0,2.3,0.9,2.0,0.2,0.8,0.3,0.7,0.1,1.0,0.6,0.4,0.1,0.5,2017,0
52,1628403,Caleb Swanigan,27,7.0,2.3,0.9,2.2,0.0,0.3,0.4,0.7,0.6,1.4,0.5,0.2,0.1,0.7,2017,0
53,1626177,Dakari Johnson,31,5.2,1.8,0.7,1.3,0.0,0.0,0.4,0.6,0.5,0.6,0.3,0.2,0.3,0.1,2017,0
0,203954,Joel Embiid,31,25.4,20.2,6.5,13.8,1.2,3.2,6.2,7.9,2.0,5.9,2.1,0.9,2.5,3.8,2016,1
1,203967,Dario Saric,81,26.3,12.8,4.7,11.4,1.3,4.2,2.1,2.7,1.4,5.0,2.2,0.7,0.4,2.3,2016,1
2,1627741,Buddy Hield,82,23.0,10.6,4.0,9.4,1.8,4.6,0.8,0.9,0.4,2.9,1.5,0.5,0.1,1.2,2016,1
3,1627763,Malcolm Brogdon,75,26.4,10.2,3.9,8.5,1.0,2.6,1.5,1.7,0.6,2.2,4.2,1.1,0.2,1.5,2016,1
4,1627812,Yogi Ferrell,46,26.0,10.0,3.5,8.6,1.5,3.8,1.6,1.9,0.4,2.0,3.7,0.9,0.2,1.5,2016,0
5,1627750,Jamal Murray,82,21.5,9.9,3.6,8.9,1.4,4.2,1.3,1.5,0.5,2.1,2.1,0.6,0.3,1.4,2016,1
6,1627742,Brandon Ingram,79,28.8,9.4,3.5,8.7,0.7,2.4,1.7,2.7,0.8,3.2,2.1,0.6,0.5,1.5,2016,1
7,1627737,Marquese Chriss,82,21.3,9.2,3.5,7.7,0.9,2.7,1.4,2.2,1.2,3.1,0.7,0.8,0.9,1.3,2016,1
8,1627746,Skal Labissiere,33,18.5,8.8,3.5,6.6,0.1,0.2,1.6,2.2,1.5,3.4,0.8,0.5,0.4,1.1,2016,0
9,1627747,Caris LeVert,57,21.7,8.2,3.0,6.7,1.0,3.2,1.2,1.6,0.4,2.9,1.9,0.9,0.1,1.0,2016,1
10,1626195,Willy Hernangomez,72,18.4,8.2,3.4,6.5,0.1,0.2,1.3,1.7,2.4,4.6,1.3,0.6,0.5,1.4,2016,1
